MESS MENU IIM SAMBALPUR (13th Jan-13th Feb 2026),,,,,,,,,,,,,,,,,,,,,,,,,
Sl. No.,ITEMS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,,,,,,,,,,,,,,,,
TIMING: BREAKFAST (08:00 AM TO 10:30 AM) DAILY (BREAD +BUTTER+JAM+FRUITS+MILK+TEA+COFFEE+ CORNFLAKES+SPROUTS+ BOILED EGG),,,,,,,,,,,,,,,,,,,,,,,,,
1,MAIN,PANEER PARATHA,TARRI POHA,UTTAPAM,ALOO PARATHA,IDLY VADA,METHI PARATHA,MASALA DOSA,,,,,,,,,,,,,,,,,
2,EXTRA,CURD + GREEN CHUTNEY,MATAR KI SABJI+ SEV,RED CHUTNEY + COCONUT CHUTNEY,CURD + GREEN CHUTNEY,SAMBHAR + COCONUT CHUTNEY,KALA CHANA KI SABZI,SAMBHAR + COCONUT CHUTNEY,,,,,,,,,,,,,,,,,
LUNCH (12:45PM TO 2:00 PM) SALAD + PICKLE+ PAPAD+ROTI,,,,,,,,,,,,,,,,,,,,,,,,,
1,RICE,ONION RICE,PLAIN RICE,LEMON RICE,PLAIN RICE,PLAIN RICE,CURD RICE + PLAIN RICE,JEERA RICE,,,,,,,,,,,,,,,,,
2,VEG 1,LAUKI TOMATO MASALA,LAAL SAAG,PODIYAL MIX VEG,KADI PAKORE,RAJMA MASALA,BHATURE,PALAK CORN,,,,,,,,,,,,,,,,,
3,VEG 2,KASHMIRI DUM ALOO,RAJMA MASALA,BRINJAL FRY ,ALOO CAPSICUM ,GOBHI MATAR DRY,CHOLE MASALE,ALOO BHUJIYA,,,,,,,,,,,,,,,,,
4,DAL,AKKHA MASOOR DAL, ARHAR TADKA DAL + DRUMSTICK SAMBAR ,CHILKE WALI DAL ,PLAIN CHANA DAL,ONION DAL TADKA + SAMBHAR,DAL TADKA ,DAL MAKHANI,,,,,,,,,,,,,,,,,
5,CURD,BUTTERMILK,PLAIN CURD,BOONDI RAITA,PLAIN CURD,BOONDI RAITA,LASSI,BUTTERMILK,,,,,,,,,,,,,,,,,
6,SALAD,GREEN SALAD,GREEN SALAD,GREEN SALAD ,GREEN SALAD,GREEN SALAD,ONION LACCHA SALAD,GREEN SALAD ,,,,,,,,,,,,,,,,,
SNACKS (5:15 PM TO 6:30 PM),,,,,,,,,,,,,,,,,,,,,,,,,
1,WEEK 1&3,SAMOSA + RED & GREEN CHUTNEY,MASALA MATAR KULCHA + CHOPPED ONION,RED SAUCE PASTA (PENNE) + OREGANO & CHILLY FLAKES,FRIED IDLY + COCUNUT CHUTNEY,PALAK ONION PAKORE,PAPDI CHAAT+RED & GREEN CHUTNEY + DAHI,PANIPURI WITH DAHI,,,,,,,,,,,,,,,,,
2,WEEK 2&4,DAL KACHORI + RED & GREEN CHUTNEY,HAKKA NOODLES / SCHEZWAN NOODLES,MYSORE BONDA + GROUNDNUT CHUTNEY,DAHI BHALLA + RED CHUTNEY,MUMBAIKAR SANDWICH,WHITE SAUCE PASTA (MACRONI),ALOO TIKKI CHAAT+GREEN CHUTNEY,,,,,,,,,,,,,,,,,
3,TEA/COFFEE,TEA,COFFEE,TEA,COFFEE,TEA,COFFEE,TEA,,,,,,,,,,,,,,,,,
DINNER (8:00 TO 10.30 PM) SALAD +PICKLE+ PAPAD+ROTI,,,,,,,,,,,,,,,,,,,,,,,,,
1,RICE,PLAIN RICE,PLAIN RICE,VEG BIRYANI,PLAIN RICE,"VEG PULAV AND EGG BIRYANI (2,4)",PLAIN RICE ,VEG PULAO,,,,,,,,,,,,,,,,,
2,VEG 1,MUSHROOM MASALA,PINDI CHOLE,MATAR PANEER,SEV TAMATAR,PALAK PANEER,VEG KOLHAPURI,PANEER LABABDAR,,,,,,,,,,,,,,,,,
3,VEG 2,LAUKI KE KOFTE,KARELA CHIPS,CHICKEN BIRYANI,BESAN KE GATTE,EGG BUTTER MASALA /FRIED FISH MASALA,SOYABEAN CURRY,PUNJABI CHICKEN CURRY ,,,,,,,,,,,,,,,,,
4,DAL,PLAIN ARHAR DAL ,NAVRATAN DAL,PLAIN ARHAR DAL ,DAL TADKA,BUTTER GARLIC DAL FRY,MASOOR DAL,DAL LEHSUNI,,,,,,,,,,,,,,,,,
5,ROTI,CHAPATI,MASALA PURI,CHAPATI,PARATHA,CHAPATI,CHAPATI,CHAPATI,,,,,,,,,,,,,,,,,
6,SALAD,GREEN SALAD,KACHUMBER SALAD,VINEGAR ONION,CORN PEANUT SALAD,CHICKPEA CURD SALAD,GREEN SALAD,ONION LACCHA SALAD,,,,,,,,,,,,,,,,,
7,SWEETS,JALEBI+RABDI,,GAJAR KA HALWA / MOONG DAL HALWA,,MALPUA,,ICE CREAM ,,,,,,,,,,,,,,,,,
8,EXTRA,RASAM,SWEET CORN SOUP,MIX VEG RAITA,,ONION CUCUMBER RAITA,TOMATO SOUP,,,,,,,,,,,,,,,,,,
